Glass_number,Filename,Si_O_Si_Bond_angle,O_Si_O_bond_angle,number_bridge_oxygen,env_chem_si,env_chem_al,Activation_barrier,initial_water_si_distance,Stress,Shear
glass_num_7,O_124_Si_654,147.6999901,153.9448012,4,4,0,1.345653007,3.262,-0.190087703,0.101501951
glass_num_7,O_343_Si_662,146.1387827,169.2098968,3,3,0,0.942239377,3.209,-0.249696087,0.127774239
glass_num_7,O_202_Si_664,154.5047703,159.8618358,3,3,0,1.562452958,3.421,-0.221014392,0.157018219
glass_num_7,O_355_Si_671,160.790742,166.2203896,4,4,0,1.372060379,3.188,-0.245001509,0.123263917
glass_num_7,O_337_Si_674,130.089822,148.5132717,4,4,0,0.411609336,3.186,-0.252807957,8.31E-02
glass_num_7,O_241_Si_693,169.2947578,160.8633927,4,4,0,0.925821214,3.339,-0.259647524,7.11E-02
glass_num_7,O_529_Si_694,163.0911627,124.5499476,4,4,0,0.771687442,3.434,-0.280373278,7.13E-02
glass_num_7,O_37_Si_696,161.5488646,65.74715387,4,4,0,0.242326859,3.309,-0.304221848,0.130704455
glass_num_7,O_235_Si_698,156.1126856,69.52514679,3,3,0,0.577008261,3.193,-0.261913839,0.11220979
glass_num_7,O_118_Si_705,156.1126856,148.4379131,3,3,0,0.663879988,3.471,-0.254175842,6.82E-02
glass_num_7,O_565_Si_706,127.7163696,79.69366169,4,4,0,0.332482125,2.777,-0.229413447,8.40E-02
glass_num_9,O_262_Si_603,160.3307048,172.944394,4,4,0,1.367792956,3.322,-0.174931273,0.232732374
glass_num_9,O_205_Si_609,140.9065558,165.8436387,3,3,0,0.97544686,3.074,-0.198284435,0.110339587
glass_num_9,O_217_Si_610,152.2010525,154.8825066,3,3,0,0.811904837,3.374,-0.202384016,0.158447889
glass_num_9,O_187_Si_618,164.1234973,150.7730567,4,4,0,1.16630526,3.318,-0.207115299,8.94E-02
glass_num_9,O_1_Si_626,157.3038647,170.5927931,3,3,0,1.84469104,3.258,-0.186213028,3.61E-02
glass_num_9,O_433_Si_657,169.0644239,171.3353665,3,3,0,1.215311178,3.458,-0.182455527,0.113688601
glass_num_9,O_574_Si_660,164.3405725,157.031322,2,2,0,1.472835636,3.479,-0.204305402,8.84E-02
glass_num_9,O_478_Si_664,146.1013639,165.3697465,4,4,0,1.491958764,3.069,-0.149994704,0.181379057
glass_num_9,O_550_Si_670,158.2775524,172.948248,3,3,0,1.522085034,2.979,-0.212735198,5.25E-02
glass_num_9,O_139_Si_674,151.7566486,150.4756262,3,3,0,1.576972808,3.31,-0.237282391,9.74E-02
glass_num_9,O_142_Si_675,157.7394975,168.4498373,3,3,0,1.004575763,3.131,-0.183664413,0.154111321
glass_num_9,O_382_Si_677,143.154743,164.8581848,2,2,0,1.275415588,3.226,-0.171700599,9.04E-02
glass_num_9,O_109_Si_685,150.815769,170.2278124,3,3,0,1.401561285,3.056,-0.227255103,9.16E-02
glass_num_9,O_61_Si_696,156.7708967,173.5084188,4,4,0,0.782388089,3.418,-0.186397623,0.108533854
glass_num_9,O_451_Si_697,157.0876586,169.0825572,3,3,0,1.592571882,3.239,-0.221940517,9.48E-02
glass_num_9,O_319_Si_699,131.6744269,169.8544476,3,3,0,1.25479511,3.197,-0.196755136,0.111590127
glass_num_9,O_352_Si_701,168.8721203,163.9718877,4,4,0,0.887315921,3.262,-0.230440722,6.29E-02
glass_num_11,O_193_Si_593,154.7520948,168.3569903,2,2,0,1.150509448,3.338,-0.182386568,7.62E-02
glass_num_11,O_388_Si_601,149.6310974,176.7287478,3,3,0,1.807398372,3.171,-0.220171057,3.80E-02
glass_num_11,O_574_Si_602,143.4515652,73.1978126,4,4,0,0.176357841,2.918,-0.295624657,0.139905476
glass_num_11,O_562_Si_605,160.0495628,175.6052892,3,3,0,1.480309306,3.325,-0.1879493,0.120436269
glass_num_11,O_508_Si_616,157.1138906,173.8567714,3,3,0,1.372280124,3.217,-0.243750998,8.95E-02
glass_num_11,O_382_Si_620,167.7460101,151.3329698,4,4,0,1.867419446,3.259,-0.150969412,7.69E-02
glass_num_11,O_145_Si_623,136.0200713,152.4027957,3,3,0,0.911626365,3.158,-0.183690546,0.104058347
glass_num_11,O_169_Si_625,148.7575443,164.2040473,4,4,0,1.789919136,3.33,-0.190897792,0.101546585
glass_num_11,O_100_Si_632,149.7204525,166.6030998,4,4,0,1.391249606,3.027,-0.131376421,0.143222946
glass_num_11,O_181_Si_645,132.8396832,168.3686069,3,3,0,1.185038488,3.23,-0.218153095,0.106108989
glass_num_11,O_454_Si_670,122.0456628,165.2657341,4,4,0,0.443096984,2.709,-0.202815347,0.171546499
glass_num_11,O_571_Si_677,162.233856,161.8511302,4,4,0,1.442082179,3.208,-0.237429255,0.114360872
glass_num_11,O_259_Si_695,157.1802467,173.6881545,3,3,0,0.948366023,3.297,-0.234139556,4.12E-02
glass_num_11,O_436_Si_712,160.7813043,160.6774202,4,4,0,1.114602634,3.279,-0.233844443,1.88E-02
glass_num_14,O_385_Si_577,156.3989844,171.7931306,3,3,0,1.423889672,2.98,-0.200660779,8.18E-02
glass_num_14,O_196_Si_601,153.8036901,169.3101292,3,3,0,1.265956328,2.937,-0.227627856,8.81E-02
glass_num_14,O_256_Si_605,143.6359229,170.8013596,3,3,0,1.515204612,3.351,-0.228240334,8.34E-02
glass_num_14,O_157_Si_607,146.0850053,170.719339,2,2,0,1.108891821,3.125,-0.205785426,6.22E-02
glass_num_14,O_496_Si_609,133.6008106,160.0127232,4,4,0,1.729796031,3.332,-0.173601734,7.58E-02
glass_num_14,O_376_Si_615,162.2724063,157.6379363,4,4,0,1.005059038,3.326,-0.1943282,9.95E-02
glass_num_14,O_403_Si_628,145.2230464,164.3340258,4,4,0,1.652299142,3.169,-0.187146715,0.114030218
glass_num_14,O_556_Si_629,148.5334256,173.115294,4,4,0,1.147565587,2.88,-0.25363158,9.88E-02
glass_num_14,O_508_Si_634,129.32516,168.0477733,3,3,0,1.077689577,3.108,-0.254935353,7.60E-02
glass_num_14,O_205_Si_635,168.0059535,167.620218,4,4,0,1.478726422,3.096,-0.227693396,0.121817022
glass_num_14,O_208_Si_636,137.2867972,168.2300245,3,3,0,1.31357633,3.137,-0.174886537,0.133398344
glass_num_14,O_262_Si_653,136.1170432,166.5017915,4,4,0,1.371191215,3.098,-0.205441814,0.119974891
glass_num_14,O_121_Si_655,141.4150992,174.9987489,3,3,0,0.964821417,2.916,-0.245954089,3.94E-02
glass_num_14,O_529_Si_665,160.7283974,169.064161,2,2,0,1.42163925,3.25,-0.172598112,4.86E-02
glass_num_14,O_268_Si_666,157.0714245,175.7495988,2,2,0,1.458996431,3.342,-0.172867549,5.82E-02
glass_num_14,O_574_Si_686,125.1816944,162.0679814,3,3,0,0.971492648,3.315,-0.182721594,0.171958645
glass_num_15,O_529_Si_575,133.0186626,156.9757763,4,4,0,0.696256678,3.153,-0.241331486,0.12089296
glass_num_15,O_298_Si_585,153.9397594,165.7224489,4,4,0,0.606257841,3.079,-0.21995128,0.139049885
glass_num_15,O_28_Si_611,122.9702932,169.34014,3,3,0,0.407181854,3.442,-0.188836344,9.92E-02
glass_num_15,O_76_Si_617,123.9241918,145.7299605,4,4,0,1.34044856,3.375,-0.232902416,0.117154648
glass_num_15,O_376_Si_625,163.3197153,159.9604255,4,4,0,2.11792943,3.324,-0.19146484,5.38E-02
glass_num_15,O_466_Si_626,161.2076196,165.6910995,2,2,0,1.101458062,3.262,-0.183239352,6.04E-02
glass_num_15,O_133_Si_628,144.2013283,167.5563731,4,4,0,0.788050228,3.091,-0.186325476,0.208221909
glass_num_15,O_532_Si_633,170.8836822,174.4800195,3,3,0,1.568352518,3.348,-0.234910951,6.45E-02
glass_num_15,O_247_Si_663,156.8096181,171.6781544,3,3,0,0.434627543,3.281,-0.252094721,8.20E-02
glass_num_15,O_493_Si_665,149.2740449,171.0952902,3,3,0,1.423318465,3.226,-0.196460537,6.18E-02
glass_num_15,O_355_Si_678,123.6513818,171.1292549,3,3,0,1.033610792,3.016,-0.214084965,0.191352755
glass_num_15,O_511_Si_680,158.490872,174.422487,4,4,0,1.633879667,3.213,-0.180705344,7.99E-02
glass_num_15,O_202_Si_697,152.8469919,172.9975364,3,3,0,1.070100134,3.135,-0.263673652,0.174380828
glass_num_15,O_550_Si_699,159.1087603,173.8953893,3,3,0,1.157650284,3.295,-0.219800856,5.32E-02
glass_num_15,O_79_Si_700,158.7612566,170.8879868,4,4,0,1.745859506,3.38,-0.249033781,0.175216318
glass_num_16,O_232_Si_575,175.3773966,165.314529,3,3,0,1.218145332,3.142,-0.205548358,7.68E-02
glass_num_16,O_334_Si_583,155.9763829,169.8875374,3,3,0,1.167693662,3.126,-0.243475687,0.102286711
glass_num_16,O_400_Si_585,147.9048152,150.4164039,4,4,0,0.842653121,3.369,-0.269798825,5.56E-02
glass_num_16,O_202_Si_587,160.8081828,59.10946939,3,3,0,1.05035408,3.311,-0.310516972,9.71E-02
glass_num_16,O_34_Si_602,164.8057041,160.6961274,4,4,0,1.418112882,3.003,-0.184476218,0.107552326
glass_num_16,O_166_Si_614,150.5851088,163.265219,4,4,0,1.048568394,2.785,-0.238542719,0.116075521
glass_num_16,O_193_Si_618,135.802608,158.8875937,4,4,0,0.920793678,3.416,-0.22139496,0.146785673
glass_num_16,O_40_Si_621,148.62772,163.6069377,4,4,0,1.5360414,3.321,-0.199728491,0.124060672
glass_num_16,O_106_Si_635,133.333209,166.7169107,3,3,0,1.28630564,3.343,-0.221813282,8.92E-02
glass_num_16,O_85_Si_643,163.2009364,166.4525695,2,2,0,1.521700642,3.381,-0.249089729,8.96E-02
glass_num_16,O_169_Si_655,137.9901106,168.9098783,3,3,0,1.485573421,3.131,-0.260840256,9.35E-02
glass_num_16,O_517_Si_662,166.4249128,160.9197911,3,3,0,1.070294444,3.298,-0.251474451,0.117720421
glass_num_16,O_115_Si_666,143.1312858,141.5791983,4,4,0,0.320442686,3.35,-0.265453169,0.103877015
